proto,port,open,hint,banner,details,error,tls_subject,tls_issuer,rdns,fingerprint
tcp,110,False,POP3,,{},,,,DESKTOP-G804P63,
tcp,111,False,sunrpc,,{},,,,DESKTOP-G804P63,
tcp,112,False,,,{},,,,DESKTOP-G804P63,
tcp,113,False,auth,,{},,,,DESKTOP-G804P63,
tcp,114,False,,,{},,,,DESKTOP-G804P63,
tcp,115,False,,,{},,,,DESKTOP-G804P63,
tcp,116,False,,,{},,,,DESKTOP-G804P63,
tcp,117,False,uucp-path,,{},,,,DESKTOP-G804P63,
tcp,118,False,sqlserv,,{},,,,DESKTOP-G804P63,
tcp,119,False,nntp,,{},,,,DESKTOP-G804P63,
tcp,120,False,,,{},,,,DESKTOP-G804P63,
tcp,121,False,,,{},,,,DESKTOP-G804P63,
tcp,122,False,,,{},,,,DESKTOP-G804P63,
tcp,123,False,NTP,,{},,,,DESKTOP-G804P63,
tcp,124,False,,,{},,,,DESKTOP-G804P63,
tcp,125,False,,,{},,,,DESKTOP-G804P63,
tcp,126,False,,,{},,,,DESKTOP-G804P63,
tcp,127,False,,,{},,,,DESKTOP-G804P63,
tcp,128,False,,,{},,,,DESKTOP-G804P63,
tcp,129,False,,,{},,,,DESKTOP-G804P63,
tcp,130,False,,,{},,,,DESKTOP-G804P63,
tcp,131,False,,,{},,,,DESKTOP-G804P63,
tcp,132,False,,,{},,,,DESKTOP-G804P63,
tcp,133,False,,,{},,,,DESKTOP-G804P63,
tcp,134,False,,,{},,,,DESKTOP-G804P63,
tcp,135,False,epmap,,{},,,,DESKTOP-G804P63,
tcp,136,False,,,{},,,,DESKTOP-G804P63,
tcp,137,False,netbios-ns,,{},,,,DESKTOP-G804P63,
tcp,138,False,,,{},,,,DESKTOP-G804P63,
tcp,139,False,netbios-ssn,,{},,,,DESKTOP-G804P63,
tcp,140,False,,,{},,,,DESKTOP-G804P63,
tcp,141,False,,,{},,,,DESKTOP-G804P63,
tcp,142,False,,,{},,,,DESKTOP-G804P63,
tcp,143,False,IMAP,,{},,,,DESKTOP-G804P63,
tcp,144,False,,,{},,,,DESKTOP-G804P63,
tcp,145,False,,,{},,,,DESKTOP-G804P63,
tcp,146,False,,,{},,,,DESKTOP-G804P63,
